DD/MM/YY,VNINDEX,REE,SAM,CTG,STB,VCB,EIB,FPT,KDC,MBB
2/1/2013,418.35,17,7.6,21.1,20.1,27.8,16,36.4,41,13.1
3/1/2013,419.27,16.8,7.3,20.9,20.5,28.5,15.8,35.9,40.3,12.9
4/1/2013,426.06,17,7.4,21,20.7,29.2,15.9,36.4,40.5,13
7/1/2013,434.19,17.1,7.3,21.1,21.5,30,15.9,36.2,40.9,13.1
8/1/2013,447.16,17.9,7.6,21.3,21.9,31.5,16.2,38,40.9,13.6
9/1/2013,448.77,17.9,7.6,22,22.8,31.7,15.6,39,42.2,13.4
10/1/2013,460.12,18.2,7.8,22.8,23.1,32.5,15.8,39.5,42.3,13.9
11/1/2013,462.69,18.2,7.7,22.3,22.8,32.1,15.4,38.9,42.5,14
14/01/2013,458.97,18.2,7.6,22.1,22.4,31.9,15.3,37.7,44.6,13.9
15/01/2013,461.42,18.3,8,22.4,22.3,32,15.5,38.2,46.5,14.2
16/01/2013,465.25,18.6,8.1,22.5,22.3,32.1,15.7,38.6,47.9,14.4
17/01/2013,456.76,18.2,7.8,22.2,22,31.5,15.6,38.1,47.3,14.1
18/01/2013,454.16,17.9,7.6,21.9,22.5,31.6,15.6,37.9,46.6,14.1
21/01/2013,447.79,18.6,7.6,21.4,22.2,31.1,15.5,37.7,44,14
22/01/2013,442.85,18.2,7.3,21,22,30.6,15.3,37.1,44.2,13.6
23/01/2013,443.37,18.3,7.3,20.9,22,30.4,15.3,37.1,44.3,13.6
24/01/2013,452.4,18.6,7.5,21.2,22,31,15.5,38,44.8,13.8
25/01/2013,468.09,19.6,7.8,22.6,22.2,32.5,15.8,39.3,45.8,13.9
28/01/2013,479.6,20.9,8.1,22.9,22.8,32.8,16.9,39.8,46.3,14
29/01/2013,484.01,21.3,8.3,23.5,23,34,17.4,39.5,46,14
30/01/2013,487.6,20.9,8.4,23.4,22.8,34.3,17,40.8,45.5,14.1
31/01/2013,479.79,20.3,7.9,23,22.8,34,16.6,40.1,45.6,13.9
1/2/2013,483.42,21,8.1,23.4,22.8,34.3,16.4,39.5,45.5,13.9
4/2/2013,482.38,22,8.1,23,22.7,33.7,16.4,39.4,45.4,13.7
5/2/2013,477.36,21.4,8.1,22.8,22.7,33.7,16.1,39.2,45.2,13.7
6/2/2013,488.36,22,8.3,23.4,22.7,34.5,16.4,39.4,45.5,13.9
7/2/2013,490.62,22.3,8.5,23.4,22.4,34.5,16.3,39.6,45.1,13.9
8/2/2013,494.03,22.5,8.6,23.7,22.6,34.5,16.5,39.8,46,14.1
18/02/2013,493.95,23.3,9.2,23.5,22.5,34.3,16.5,40,46.5,14.3
19/02/2013,490.78,22.9,9.1,23.2,22.3,33.9,16.2,39.7,46.5,14.2
20/02/2013,494.83,21.6,9.1,23.2,22.1,34.1,16.3,39.5,46.2,14.1
21/02/2013,476.73,20.1,8.5,22.7,21.7,32,15.7,38.6,46,13.7
22/02/2013,477.69,19.6,8.4,22.4,21.6,32.7,15.8,38.5,46.5,13.7
25/02/2013,483.69,20.1,8.4,22,21.6,33.5,15.9,38.4,49.6,13.6
26/02/2013,465.05,18.9,7.9,20.5,21.2,30.9,15.5,36.9,49.1,13.2
27/02/2013,465.72,18.8,7.7,21.1,21,30.9,15.5,36.6,48.9,13.2
28/02/2013,474.56,19.1,7.8,20,21.6,32.3,15.7,37,48.6,13.4
1/3/2013,477.15,19,7.7,20.3,22,32.4,15.7,37,48.6,13.3
4/3/2013,468.74,17.8,7.2,19.2,20.5,32.1,15.4,36.2,48.1,13.1
5/3/2013,462.12,17.7,7.1,18.6,21.4,31.6,15.1,35.7,47.5,13.1
6/3/2013,471.09,18.6,7.3,18.8,21.9,32.2,15.1,36.2,48,13.1
7/3/2013,466.63,18.5,7.1,18.9,20.8,32.2,15.1,36,47,13.1
